epoch,train_loss,eval_loss,eval_top1,eval_top5
0,1.7253113321422302,1.1587597816003357,58.35839913672233,99.79394726069502
1,1.1991666531909806,0.5523256721907259,77.07272477584108,99.99621052489955
2,1.1217248596842901,0.49647551871848783,79.1602521903292,99.995736840512
3,1.103243705068233,0.5156382917073211,79.29430489246221,99.99621052489955
4,1.0897144176440936,0.5158431365474815,78.8949888928222,99.99715789367467
5,1.0712942155366092,0.5175996615172475,79.93425259769784,99.99668420928711
6,1.0614943755547737,0.5114910189130841,80.92662154104991,99.99763157806223
7,1.0559277893413985,0.4498443584090775,80.92567417213024,99.99715789367467
8,1.0481528193752574,0.4535960741337761,81.39225336506667,99.99668420928711
9,1.0412718465900768,0.43780855197833224,81.69067457476203,99.99621052489955
10,1.0420482402284483,0.45615518017216694,81.07251635467875,99.99810526244978
11,1.0326435827464318,0.4513418839472933,82.08051688520536,99.99952631561244
12,1.0312620641391446,0.4529931025134616,83.19888589487326,99.995736840512
13,1.0257355739775391,0.45680272269298994,82.2292538055932,99.995736840512
14,1.026171947660556,0.4528709371688345,82.70956984786481,99.99526315612445
15,1.0268879842946137,0.4802202670502395,82.64562244578723,99.99810526244978
16,1.0158061981924091,0.4757140462513757,82.70341194988697,100.0
17,1.0141619736314036,0.43295829192358515,84.20546537202034,100.0
18,1.0106752962145102,0.4310841122694789,83.64651770941632,99.995736840512
19,1.010390409941092,0.4119778794813743,83.9492020792502,99.99810526244978
20,1.0083729976086706,0.4286457849711783,84.42667601476279,99.99715789367467
21,1.0064050828673177,0.4206269478264972,84.06525477190951,99.99905263122488
22,1.0039286177002205,0.48116870444283005,84.22725485717271,99.99763157806223
23,0.9976212050677647,0.41935531017600297,84.26278119166025,99.99526315612445
24,0.9945923085462838,0.41939627885605035,82.82230674930528,100.0
25,0.9952933983487603,0.4196221751145272,84.04204423337764,99.99526315612445
26,0.9972467973168653,0.48216872350431816,82.71951722152133,99.99763157806223
27,0.9926528366064578,0.4118564537814004,84.69951826362714,99.99952631561244
28,0.9912985460443017,0.43380261134298576,83.84972834268507,99.99621052489955
29,0.9911402497528682,0.4342302796793359,82.82846464728313,99.99715789367467
30,0.9886022915870512,0.40990645610718834,84.66162350684041,99.99763157806223
31,0.9866279317184677,0.4221972292288388,84.86199203335018,99.99526315612445
32,0.9865696215680182,0.40940913926669054,84.57778135744981,99.99763157806223
33,0.9852686802172675,0.4273693705388195,84.52378132902875,100.0
34,0.9802014912309757,0.4273350097608492,84.6962024724083,100.0
